observation_date,QCNR628BIS
2005-04-01,87.95000000000000
2005-07-01,89.53560000000000
2005-10-01,89.73340000000000
2006-01-01,88.52589999999999
2006-04-01,90.69889999999999
2006-07-01,92.46960000000000
2006-10-01,92.46530000000000
2007-01-01,90.72120000000000
2007-04-01,92.68150000000000
2007-07-01,93.15920000000000
2007-10-01,94.40120000000000
2008-01-01,91.81930000000000
2008-04-01,92.67270000000001
2008-07-01,93.32680000000001
2008-10-01,93.67430000000000
2009-01-01,92.22250000000000
2009-04-01,93.67170000000000
2009-07-01,95.65009999999999
2009-10-01,97.31050000000000
2010-01-01,98.47350000000000
2010-04-01,100.88280000000000
2010-07-01,100.68630000000000
2010-10-01,99.95670000000000
2011-01-01,99.13160000000001
2011-04-01,99.32160000000000
2011-07-01,98.44850000000000
2011-10-01,97.69070000000001
2012-01-01,95.61920000000001
2012-04-01,95.50140000000000
2012-07-01,95.53940000000000
2012-10-01,95.30530000000000
2013-01-01,95.17680000000000
2013-04-01,98.28060000000001
2013-07-01,100.00109999999999
2013-10-01,101.00890000000000
2014-01-01,100.75690000000000
2014-04-01,101.24500000000000
2014-07-01,98.56420000000000
2014-10-01,95.95059999999999
2015-01-01,93.76890000000000
2015-04-01,93.82420000000000
2015-07-01,93.83380000000000
2015-10-01,94.25910000000000
2016-01-01,94.90720000000000
2016-04-01,97.16350000000000
2016-07-01,99.11010000000000
2016-10-01,100.93510000000001
2017-01-01,101.19450000000001
2017-04-01,103.49700000000000
2017-07-01,104.28380000000000
2017-10-01,104.22850000000000
2018-01-01,103.56010000000001
2018-04-01,105.80870000000000
2018-07-01,108.07450000000000
2018-10-01,109.43859999999999
2019-01-01,109.45840000000000
2019-04-01,110.55249999999999
2019-07-01,110.35120000000001
2019-10-01,108.74620000000000
2020-01-01,107.15949999999999
2020-04-01,109.93750000000000
2020-07-01,110.30740000000000
2020-10-01,111.21440000000000
2021-01-01,110.55310000000000
2021-04-01,112.63079999999999
2021-07-01,112.99079999999999
2021-10-01,111.08759999999999
2022-01-01,109.33040000000000
2022-04-01,107.82880000000000
2022-07-01,106.45090000000000
2022-10-01,105.04320000000000
2023-01-01,104.34269999999999
2023-04-01,104.84710000000000
2023-07-01,103.13490000000000
2023-10-01,101.47510000000000
2024-01-01,98.96290000000000
2024-04-01,96.85129999999999
2024-07-01,93.82299999999999
2024-10-01,92.59670000000000
